,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hobart,90,AU,1567627822,80,-42.88,147.33,45.0,3.36
1,Busselton,26,AU,1567628041,68,-33.64,115.35,37.0,10.16
2,Hermanus,65,ZA,1567628044,88,-34.42,19.24,57.99,21.5
3,Shepsi,0,RU,1567628252,73,44.04,39.15,75.29,13.06
4,Dikson,100,RU,1567628051,98,73.51,80.55,43.43,16.69
5,Rikitea,100,PF,1567628044,73,-23.12,-134.97,73.31,4.43
6,Cabedelo,75,BR,1567628252,78,-6.97,-34.84,78.8,10.29
7,Thompson,20,CA,1567628054,50,55.74,-97.86,51.8,2.24
8,Tenabo,40,MX,1567628252,50,20.04,-90.23,95.0,11.41
9,Nikolskoye,20,RU,1567628039,77,59.7,30.79,60.01,6.71
10,Mahebourg,75,MU,1567628066,83,-20.41,57.7,73.0,14.99
11,Komsomolskiy,33,RU,1567628252,88,67.55,63.78,47.21,7.43
12,Avarua,90,CK,1567628064,64,-21.21,-159.78,75.2,17.22
13,Yumen,0,CN,1567628252,32,40.29,97.04,70.43,9.84
14,Rawson,99,AR,1567628048,53,-43.3,-65.11,39.47,9.62
15,Segezha,0,RU,1567628253,84,63.74,34.31,49.73,5.91
16,Gayny,88,RU,1567628253,89,60.3,54.33,50.09,3.78
17,Ballina,20,IE,1567628253,87,54.11,-9.15,54.0,10.29
18,Kaitangata,100,NZ,1567628090,74,-46.28,169.85,50.0,7.0
19,Ushuaia,0,AR,1567628045,52,-54.81,-68.31,41.0,24.16
20,Longyearbyen,75,NO,1567628052,80,78.22,15.63,32.0,3.36
21,Lebu,75,ET,1567628046,82,8.96,38.73,62.6,2.24
22,Nyuksenitsa,2,RU,1567628253,95,60.41,44.24,49.55,5.68
23,Cape Town,0,ZA,1567627846,67,-33.93,18.42,60.01,23.04
24,Atuona,52,PF,1567628044,75,-9.8,-139.03,78.89,11.63
25,Talnakh,75,RU,1567628060,93,69.49,88.39,46.4,6.71
26,Bluff,29,AU,1567628077,29,-23.58,149.07,65.21,5.06
27,Marawi,100,PH,1567628111,89,8.0,124.29,75.99,5.01
28,Necochea,54,AR,1567628061,65,-38.55,-58.74,45.0,11.01
29,East London,100,ZA,1567628042,88,-33.02,27.91,56.21,3.89
30,Muros,20,ES,1567628101,87,42.77,-9.06,72.0,12.75
31,Canutama,84,BR,1567628116,43,-6.53,-64.38,93.47,2.42
32,Butaritari,93,KI,1567628047,73,3.07,172.79,82.85,3.0
33,Albany,20,US,1567628041,69,42.65,-73.75,80.01,11.41
34,Arlit,73,NE,1567628152,16,18.74,7.39,102.29,7.34
35,Punta Arenas,17,CL,1567628041,74,-53.16,-70.91,42.01,4.0
36,Namibe,71,AO,1567628050,83,-15.19,12.15,64.31,5.55
37,Hilo,90,US,1567628039,83,19.71,-155.08,78.01,9.17
38,Bartica,40,GY,1567628254,79,6.41,-58.62,86.0,6.93
39,Mar del Plata,0,AR,1567628062,38,-46.43,-67.52,38.93,6.26
40,Souillac,90,FR,1567628112,82,45.6,-0.6,68.0,11.41
41,Tuatapere,100,NZ,1567628078,96,-46.13,167.69,46.0,7.31
42,Swan River,100,CA,1567628255,68,52.11,-101.27,61.25,8.66
43,Cherskiy,0,RU,1567628068,45,68.75,161.3,47.39,5.06
44,Bambous Virieux,75,MU,1567628044,83,-20.34,57.76,73.0,14.99
45,Grindavik,75,IS,1567628103,100,63.84,-22.43,50.0,6.93
46,Harper,40,US,1567628095,30,30.3,-99.24,93.99,11.41
47,Antofagasta,81,CL,1567628196,80,-23.65,-70.4,54.23,9.17
48,Bredasdorp,41,ZA,1567628049,87,-34.53,20.04,55.0,1.12
49,Goderich,15,CA,1567628255,70,43.74,-81.71,66.0,16.64
50,Jamestown,0,AU,1567628041,70,-33.21,138.6,50.81,0.36
51,Kargil,0,PK,1567628255,58,34.56,76.13,48.11,8.32
52,Byron Bay,0,AU,1567628255,93,-28.65,153.62,55.0,1.72
53,Changde,55,CN,1567628256,82,29.04,111.68,70.79,3.36
54,Yeppoon,0,AU,1567628256,61,-23.13,150.74,48.2,1.12
55,Mataura,100,NZ,1567628047,96,-46.19,168.86,46.0,4.83
56,Vagur,0,FO,1567628256,70,61.47,-6.81,47.39,18.45
57,Nouakchott,0,MR,1567628256,37,18.08,-15.98,98.6,11.41
58,Saraland,40,US,1567628257,41,30.82,-88.07,98.6,9.17
59,Quatre Cocos,75,MU,1567628257,88,-20.21,57.76,73.0,10.67
60,Japura,67,ID,1567628257,82,-0.42,102.29,72.77,1.52
61,Sefophe,0,BW,1567628257,32,-22.18,27.97,62.87,7.18
62,Kodiak,1,US,1567628040,60,39.95,-94.76,79.0,8.05
63,Severo-Kurilsk,42,RU,1567628051,94,50.68,156.12,49.91,18.68
64,Vanderhoof,99,CA,1567628257,36,54.02,-124.02,68.99,8.52
65,Puerto Ayora,40,EC,1567628044,65,-0.74,-90.35,78.8,21.92
66,Bastrop,40,US,1567628257,34,32.78,-91.91,97.0,4.7
67,Vila Franca do Campo,20,PT,1567628070,68,37.72,-25.43,71.6,13.87
68,Masuguru,74,MZ,1567628115,61,-11.38,38.46,74.03,5.1
69,Gizo,20,IL,1567628083,65,31.8,34.94,80.6,5.82
70,Provideniya,90,RU,1567628052,87,64.42,-173.23,48.2,4.47
71,Haines Junction,0,CA,1567628258,45,60.75,-137.51,53.69,5.97
72,Elko,1,US,1567628151,20,40.83,-115.76,91.99,6.93
73,Merauke,73,ID,1567628258,81,-8.49,140.4,74.75,20.09
74,Chokurdakh,10,RU,1567628080,63,70.62,147.9,41.99,8.25
75,Ponta do Sol,26,BR,1567628081,33,-20.63,-46.0,79.25,2.55
76,Saskylakh,98,RU,1567628070,85,71.97,114.09,31.37,11.45
77,Yellowknife,20,CA,1567628058,50,62.45,-114.38,59.0,16.11
78,La Ronge,75,CA,1567628056,67,55.1,-105.3,62.6,9.17
79,Ust-Tarka,0,RU,1567628258,90,55.56,75.71,43.79,3.56
80,Clyde River,75,CA,1567628065,70,70.47,-68.59,44.6,10.29
81,Tortona,0,IT,1567628259,50,44.9,8.86,78.8,5.82
82,Nioro,84,GM,1567628259,70,13.79,-15.05,83.93,10.51
83,Huarmey,0,PE,1567628259,89,-10.07,-78.15,61.25,10.65
84,Castro,0,CL,1567628082,52,-42.48,-73.76,43.07,5.64
85,Abu Samrah,0,SY,1567628259,81,35.3,37.18,67.91,8.32
86,New Norfolk,90,AU,1567628070,80,-42.78,147.06,45.0,3.36
87,Port Elizabeth,1,US,1567628071,49,39.31,-74.98,93.0,13.87
88,Price,75,US,1567628260,32,39.6,-110.81,88.0,18.68
89,Waipawa,100,NZ,1567628260,96,-39.94,176.59,54.0,4.27
90,Dhidhdhoo,66,MV,1567628260,80,6.88,73.1,81.95,11.43
91,Bethel,90,US,1567628018,87,60.79,-161.76,51.8,23.04
92,Baykit,96,RU,1567628260,98,61.68,96.39,42.17,2.46
93,Tiznit,0,MA,1567628261,87,29.7,-9.73,67.19,2.8
94,Norman Wells,75,CA,1567628056,87,65.28,-126.83,51.8,4.7
95,Jinchang,89,CN,1567628261,44,38.52,102.19,63.23,0.78
96,Ahipara,51,NZ,1567628073,100,-35.17,173.16,57.0,21.34
97,Tilichiki,99,RU,1567628138,64,60.47,166.1,47.75,2.93
98,Chicama,0,PE,1567628261,72,-7.84,-79.15,68.0,9.17
99,Selenginsk,9,RU,1567628261,100,52.01,106.87,50.0,2.24
100,Perth,0,AU,1567628261,87,-31.95,115.86,46.99,5.82
101,Todos Santos,20,MX,1567628261,52,23.45,-110.23,93.99,10.29
102,Aleksandrov Gay,0,RU,1567628262,57,50.14,48.57,56.03,5.17
103,Vershino-Darasunskiy,67,RU,1567628262,96,52.35,115.52,48.65,2.24
104,Upernavik,79,GL,1567628041,90,72.79,-56.15,42.89,20.13
105,Saint George,20,GR,1567628038,41,39.45,22.34,75.2,3.36
106,Puerto Madryn,81,AR,1567628262,43,-42.77,-65.04,42.35,9.1
